wkt_geom;fid;id_parcelle;id_observateur;year;doy_lambda;lambda;longitude;latitude
Point (666711.16771347494795918 6231022.82227319106459618);1;61d59a2b-c8e7-9774-92b9-91057974eea1;9950c22737a118b0;2020;198.70356277651695;0.05736147438489722;666711.167713475;6231022.822273191
Point (840102.78691550635267049 6463940.26530959270894527);2;d1adfdc6-f242-e8e4-a02b-233d334fe464;0b53250aaebef3cf;2020;195.7919418716239;0.101991834063981;840102.7869155064;6463940.265309593
Point (664696.84409077221062034 6230198.00490971375256777);3;6f0eafaa-ee1e-2037-8ec3-056c0c6030b4;778efb764234e976;2020;193.89056532375756;0.10592558414583159;664696.8440907722;6230198.004909714
Point (975891.06084642349742353 6261443.38649372197687626);4;6aaf8f60-f93b-21f6-d3db-2ef60392316c;cf8fd77a-2410-44cd-8285-cbbdc4fd3728;2020;218.76993481127707;0.032171224249986266;975891.0608464235;6261443.386493722
Point (666702.32063023198861629 6231069.31836145929992199);5;a688847c-cf20-bb56-9a0b-1a706119ac49;778efb764234e976;2020;197.26073868188737;0.05256988783707313;666702.320630232;6231069.318361459
Point (666697.75584421085659415 6231021.02094209846109152);7;e2650ed8-3ed8-b55d-6051-28fa2ea48636;9950c22737a118b0;2020;199.3079556395193;0.05781670670683566;666697.7558442109;6231021.020942098
Point (664718.41114090825431049 6230162.41952278278768063);10;9312b237-0bdb-b993-0bba-577c323f1360;778efb764234e976;2020;193.11006132205182;0.09911610623774528;664718.4111409083;6230162.419522783
Point (664768.78118220367468894 6230197.48123827017843723);11;85961e87-0784-2582-f46c-d2acdf91be87;778efb764234e976;2020;193.0290107914292;0.1028038634671946;664768.7811822037;6230197.48123827
Point (883454.26433589111547917 6288865.93887789081782103);12;e0055b57-90bc-e790-f7b1-99107e6c95e7;7fce009e34c197b2;2020;173.32699003485482;0.05542828274474334;883454.2643358911;6288865.938877891
Point (664759.79124597238842398 6230200.73628661222755909);13;5ca1fa60-4edc-97a0-fec1-d21bd9b2c20c;778efb764234e976;2020;193.59224676335398;0.10726124478629731;664759.7912459724;6230200.736286612
Point (664740.64405463845469058 6230217.90306498762220144);14;ba5924cf-13d4-888c-c4bb-aa999ef773a6;778efb764234e976;2020;193.19126057238825;0.10614087734687319;664740.6440546385;6230217.903064988
Point (666737.48464650567620993 6230993.46685643121600151);15;175c3bdf-86d5-c533-b011-c85a1ada64e2;9950c22737a118b0;2020;198.5274119459088;0.0598831088076161;666737.4846465057;6230993.466856431
Point (666662.13950944307725877 6231037.608116514980793);16;d0e6f188-72ec-e2a6-dade-1625d8293910;9950c22737a118b0;2020;199.31794563991494;0.06114821685179363;666662.1395094431;6231037.608116515
Point (666724.39209039625711739 6231050.66359321493655443);17;0bc2db4d-af1e-bc33-0a59-18404b98a5fe;778efb764234e976;2020;198.92687148361804;0.0544291053181883;666724.3920903963;6231050.663593215
Point (666736.03204292734153569 6231006.29064216464757919);18;8f955833-c15f-7f99-c476-678d63e0baba;9950c22737a118b0;2020;199.9999749012006;0.06230535012922859;666736.0320429273;6231006.290642165
Point (975984.53577821026556194 6261451.50360330566763878);19;fb9dc8f0-61c2-1941-a7db-a75f5031b6de;cf8fd77a-2410-44cd-8285-cbbdc4fd3728;2020;217.72477475329882;0.021222203913056615;975984.5357782103;6261451.503603306
Point (664838.78272527037188411 6230219.73035133071243763);20;641105be-6014-195b-b45b-a9b972f0e4cd;778efb764234e976;2020;194.0625092861044;0.10797038368129287;664838.7827252704;6230219.730351331
Point (664733.88397757196798921 6230221.95386098884046078);21;3d3f9793-d252-2bfc-348d-4963f6c8251e;778efb764234e976;2020;195.15928921735588;0.1082685052585935;664733.883977572;6230221.953860989
Point (664666.71491675521247089 6230173.21559861022979021);22;fa3d56a1-176c-8a1c-ff35-3383aba52be4;778efb764234e976;2020;193.00247343201892;0.10856336780710855;664666.7149167552;6230173.21559861
Point (664753.3303301171399653 6230186.9238961199298501);23;1c3421a9-eee2-faca-c958-b5594e86c0f0;778efb764234e976;2020;193.7840264221399;0.10647563359667189;664753.3303301171;6230186.92389612
