fid,id_parcelle,id_observateur,year,doy_lambda,lambda,longitude,latitude,CWB_valeur
1,61d59a2b-c8e7-9774-92b9-91057974eea1,9950c22737a118b0,2020,198.703562776517,0.0573614743848972,666711.167713475,6231022.82227319,-472.13424
2,d1adfdc6-f242-e8e4-a02b-233d334fe464,0b53250aaebef3cf,2020,195.791941871624,0.101991834063981,840102.786915506,6463940.26530959,-555.60459
3,6f0eafaa-ee1e-2037-8ec3-056c0c6030b4,778efb764234e976,2020,193.890565323758,0.105925584145832,664696.844090772,6230198.00490971,-431.05321
4,6aaf8f60-f93b-21f6-d3db-2ef60392316c,cf8fd77a-2410-44cd-8285-cbbdc4fd3728,2020,218.769934811277,0.0321712242499863,975891.060846423,6261443.38649372,-675.77883
5,a688847c-cf20-bb56-9a0b-1a706119ac49,778efb764234e976,2020,197.260738681887,0.0525698878370731,666702.320630232,6231069.31836146,-472.13424
7,e2650ed8-3ed8-b55d-6051-28fa2ea48636,9950c22737a118b0,2020,199.307955639519,0.0578167067068357,666697.755844211,6231021.0209421,-472.13424
10,9312b237-0bdb-b993-0bba-577c323f1360,778efb764234e976,2020,193.110061322052,0.0991161062377453,664718.411140908,6230162.41952278,-431.05321
11,85961e87-0784-2582-f46c-d2acdf91be87,778efb764234e976,2020,193.029010791429,0.102803863467195,664768.781182204,6230197.48123827,-431.05321
12,e0055b57-90bc-e790-f7b1-99107e6c95e7,7fce009e34c197b2,2020,173.326990034855,0.0554282827447433,883454.264335891,6288865.93887789,-675.63195
13,5ca1fa60-4edc-97a0-fec1-d21bd9b2c20c,778efb764234e976,2020,193.592246763354,0.107261244786297,664759.791245972,6230200.73628661,-431.05321
14,ba5924cf-13d4-888c-c4bb-aa999ef773a6,778efb764234e976,2020,193.191260572388,0.106140877346873,664740.644054638,6230217.90306499,-431.05321
15,175c3bdf-86d5-c533-b011-c85a1ada64e2,9950c22737a118b0,2020,198.527411945909,0.0598831088076161,666737.484646506,6230993.46685643,-472.13424
16,d0e6f188-72ec-e2a6-dade-1625d8293910,9950c22737a118b0,2020,199.317945639915,0.0611482168517936,666662.139509443,6231037.60811651,-472.13424
17,0bc2db4d-af1e-bc33-0a59-18404b98a5fe,778efb764234e976,2020,198.926871483618,0.0544291053181883,666724.392090396,6231050.66359321,-472.13424
18,8f955833-c15f-7f99-c476-678d63e0baba,9950c22737a118b0,2020,199.999974901201,0.0623053501292286,666736.032042927,6231006.29064216,-472.13424
19,fb9dc8f0-61c2-1941-a7db-a75f5031b6de,cf8fd77a-2410-44cd-8285-cbbdc4fd3728,2020,217.724774753299,0.0212222039130566,975984.53577821,6261451.50360331,-675.77883
20,641105be-6014-195b-b45b-a9b972f0e4cd,778efb764234e976,2020,194.062509286104,0.107970383681293,664838.78272527,6230219.73035133,-431.05321
21,3d3f9793-d252-2bfc-348d-4963f6c8251e,778efb764234e976,2020,195.159289217356,0.108268505258593,664733.883977572,6230221.95386099,-431.05321
22,fa3d56a1-176c-8a1c-ff35-3383aba52be4,778efb764234e976,2020,193.002473432019,0.108563367807109,664666.714916755,6230173.21559861,-431.05321
